fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Ticker
2025-11-30,None,29496000000,10163000000,5431000000,5431000000,None,2344000000,19333000000,None,None,495000000,495000000,12857000000,None,None,1164000000,1224000000,None,17873000000,10200000000,None,None,None,77000000,7673000000,None,None,None,None,438000000,3065000000,None,11623000000,None,45354000000,None,417000000,ADBE
2025-08-31,USD,28754000000,9412000000,4982000000,4982000000,None,2093000000,19342000000,None,None,555000000,555000000,12862000000,None,None,958000000,1379000000,None,16984000000,9239000000,337000000,None,None,74000000,7745000000,436000000,6200000000,None,None,6636000000,2289000000,532000000,11770000000,None,43516000000,None,430000000,ADBE
2025-05-31,USD,28107000000,8978000000,4931000000,4931000000,None,1735000000,19129000000,None,None,631000000,631000000,12830000000,None,None,782000000,1530000000,None,16659000000,9039000000,360000000,None,None,74000000,7620000000,397000000,6166000000,None,None,6563000000,2256000000,540000000,11448000000,None,41744000000,None,433000000,ADBE
2025-02-28,USD,29955000000,10855000000,6758000000,6758000000,None,1973000000,19100000000,None,None,706000000,706000000,12777000000,None,None,677000000,1447000000,None,16860000000,9163000000,326000000,None,None,74000000,7697000000,408000000,6155000000,None,None,6563000000,1951000000,498000000,13095000000,None,40186000000,None,438000000,ADBE
2024-11-30,USD,30230000000,11232000000,7613000000,7613000000,None,2072000000,18998000000,None,None,782000000,782000000,12788000000,None,None,273000000,1274000000,None,16125000000,10521000000,361000000,None,None,1574000000,5604000000,428000000,4129000000,1499000000,None,6056000000,2336000000,446000000,14105000000,None,38470000000,None,443000000,ADBE
2024-08-31,USD,29830000000,10716000000,7193000000,7193000000,None,1802000000,19114000000,None,None,858000000,858000000,12814000000,None,None,322000000,1399000000,None,15285000000,9644000000,318000000,None,None,1569000000,5641000000,451000000,4128000000,1499000000,None,6078000000,1737000000,420000000,14545000000,None,36911000000,None,448000000,ADBE
2024-05-31,USD,30007000000,11023000000,7660000000,7660000000,None,1612000000,18984000000,None,None,933000000,933000000,12803000000,None,None,405000000,1346000000,None,15164000000,9474000000,357000000,None,None,1565000000,5690000000,465000000,4127000000,1498000000,None,6090000000,1899000000,446000000,14843000000,None,35227000000,None,451000000,ADBE
2024-02-29,USD,28751000000,10008000000,6254000000,6254000000,None,2057000000,18743000000,None,None,1011000000,1011000000,12803000000,None,None,566000000,1131000000,None,13291000000,9537000000,300000000,None,None,1570000000,3754000000,451000000,2138000000,1497000000,None,4086000000,1569000000,435000000,15460000000,None,33809000000,None,456000000,ADBE
2023-11-30,USD,29779000000,11084000000,7141000000,7141000000,None,2224000000,18695000000,None,None,1088000000,1088000000,12805000000,None,None,701000000,1018000000,None,13261000000,8251000000,314000000,None,None,73000000,5010000000,446000000,3634000000,None,None,4080000000,1942000000,376000000,16518000000,None,33346000000,None,459000000,ADBE
2023-08-31,USD,29090000000,10410000000,6601000000,6601000000,None,1851000000,18680000000,2409000000,None,1167000000,1167000000,12800000000,None,None,915000000,1043000000,None,13314000000,8334000000,314000000,None,None,74000000,4980000000,463000000,3633000000,None,None,4096000000,1714000000,352000000,15776000000,None,32012000000,None,459000000,ADBE
