fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Ticker
2025-11-30,None,3160000000,None,None,None,None,184000000,34000000,None,None,None,-146000000,-2555000000,None,None,None,None,None,None,None,None,None,None,-2474000000,None,None,None,1856000000,ADBE
2025-08-31,USD,2198000000,None,None,None,None,208000000,72000000,None,None,None,-279000000,-1876000000,None,None,None,None,None,None,None,None,None,None,-2057000000,None,None,None,1772000000,ADBE
2025-05-31,USD,2191000000,None,None,None,None,209000000,47000000,None,None,None,-278000000,-3788000000,None,None,None,None,None,None,None,None,None,None,-3500000000,None,None,None,1691000000,ADBE
2025-02-28,USD,2482000000,None,None,None,None,217000000,26000000,None,None,None,-484000000,-2841000000,None,None,None,None,None,None,None,None,None,None,-3250000000,None,None,None,1811000000,ADBE
2024-11-30,USD,2921000000,None,None,None,None,218000000,48000000,None,None,None,19000000,-2501000000,None,None,None,None,None,None,None,None,None,None,-2500000000,None,None,None,1683000000,ADBE
2024-08-31,USD,2021000000,None,None,None,None,213000000,57000000,None,None,None,-47000000,-2453000000,None,None,None,None,None,None,None,None,None,None,-2500000000,None,None,None,1684000000,ADBE
2024-05-31,USD,1940000000,None,None,None,None,214000000,52000000,None,None,None,111000000,-642000000,None,None,None,None,None,None,None,None,None,None,-2500000000,None,None,None,1573000000,ADBE
2024-02-29,USD,1174000000,None,None,None,None,212000000,75000000,None,None,None,66000000,-2128000000,None,None,None,None,None,None,None,None,None,None,-2000000000,None,None,None,620000000,ADBE
2023-11-30,USD,1597000000,None,None,None,None,222000000,47000000,None,378000000,None,153000000,-1217000000,None,None,None,None,None,None,None,None,None,None,-1000000000,None,None,None,1483000000,ADBE
2023-08-31,USD,1873000000,None,None,None,None,218000000,91000000,None,186000000,None,145000000,-871000000,None,None,None,None,None,None,None,None,None,None,-1000000000,None,None,None,1403000000,ADBE
