fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
2025-11-30,None,5545000000,6194000000,649000000,649000000,2261000000,421000000,1098000000,3247000000,None,None,None,66000000,None,None,None,None,2264000000,408000000,None,None,None,None,2261000000,1856000000,ADBE
2025-08-31,USD,5346000000,5988000000,642000000,642000000,2173000000,408000000,1088000000,3173000000,None,-67000000,None,67000000,None,None,None,208000000,2187000000,415000000,None,1772000000,None,2254000000,2462000000,1772000000,ADBE
2025-05-31,USD,5235000000,5873000000,638000000,638000000,2109000000,377000000,1082000000,3126000000,None,-68000000,None,68000000,None,None,None,209000000,2101000000,410000000,None,1691000000,None,2169000000,2378000000,1691000000,ADBE
2025-02-28,USD,5092000000,5714000000,622000000,622000000,2163000000,367000000,1026000000,2929000000,None,-62000000,None,62000000,None,None,None,217000000,2182000000,371000000,None,1811000000,None,2244000000,2461000000,1811000000,ADBE
2024-11-30,USD,4990000000,5606000000,616000000,616000000,1957000000,456000000,999000000,3033000000,None,291000000,None,50000000,None,None,None,218000000,1991000000,308000000,None,1683000000,None,2041000000,2259000000,1683000000,ADBE
2024-08-31,USD,4854000000,5408000000,554000000,554000000,1992000000,366000000,1022000000,2862000000,None,-51000000,None,51000000,None,None,None,213000000,2042000000,358000000,None,1684000000,None,2093000000,2306000000,1684000000,ADBE
2024-05-31,USD,4711000000,5309000000,598000000,598000000,1885000000,355000000,984000000,2826000000,None,-41000000,None,41000000,None,None,None,214000000,1930000000,357000000,None,1573000000,None,1971000000,2185000000,1573000000,ADBE
2024-02-29,USD,4592000000,5182000000,590000000,590000000,907000000,352000000,939000000,3685000000,None,-27000000,None,27000000,None,None,None,212000000,968000000,348000000,None,620000000,None,995000000,1207000000,620000000,ADBE
2023-11-30,USD,4414000000,5048000000,634000000,634000000,1743000000,372000000,889000000,2671000000,None,-28000000,None,28000000,None,None,None,240000000,1808000000,325000000,None,1483000000,None,1836000000,2076000000,1483000000,ADBE
2023-08-31,USD,4310000000,4890000000,580000000,580000000,1697000000,353000000,881000000,2613000000,None,-27000000,None,27000000,None,None,None,236000000,1743000000,340000000,None,1403000000,None,1770000000,2006000000,1403000000,ADBE
2023-05-31,USD,4244000000,4816000000,572000000,572000000,1624000000,357000000,876000000,2620000000,None,-26000000,None,26000000,None,52000000,None,235000000,1650000000,355000000,None,1295000000,None,1676000000,1911000000,1295000000,ADBE
2023-02-28,USD,4087000000,4655000000,568000000,568000000,1586000000,331000000,827000000,2501000000,None,-32000000,None,32000000,None,None,None,212000000,1598000000,351000000,None,1247000000,None,1586000000,1798000000,1247000000,ADBE
2022-11-30,USD,3957000000,4525000000,568000000,568000000,1505000000,340000000,773000000,2452000000,None,-28000000,None,28000000,None,None,None,215000000,1517000000,341000000,None,1176000000,None,1505000000,1720000000,1176000000,ADBE
2022-08-31,USD,3887000000,4433000000,546000000,546000000,1484000000,319000000,775000000,2403000000,None,-28000000,None,28000000,None,None,None,216000000,1456000000,320000000,None,1136000000,None,1484000000,1700000000,1136000000,ADBE
2022-05-31,USD,3847000000,4386000000,539000000,539000000,1529000000,291000000,738000000,2318000000,None,-28000000,None,28000000,None,-9000000,None,232000000,1492000000,314000000,None,1178000000,None,1520000000,1752000000,1178000000,ADBE
2022-02-28,USD,3750000000,4262000000,512000000,512000000,1580000000,269000000,701000000,2170000000,None,-28000000,None,28000000,None,None,None,235000000,1543000000,277000000,None,1266000000,None,1571000000,1806000000,1266000000,ADBE
2021-11-30,USD,3603000000,4110000000,507000000,507000000,1501000000,274000000,657000000,2102000000,None,-28000000,None,28000000,None,None,None,225000000,1468000000,235000000,None,1233000000,None,1496000000,1721000000,1233000000,ADBE
2021-08-31,USD,3468000000,3935000000,467000000,467000000,1441000000,265000000,651000000,2027000000,None,-27000000,None,27000000,None,None,None,213000000,1418000000,206000000,None,1212000000,None,1445000000,1658000000,1212000000,ADBE
2021-05-31,USD,3391000000,3835000000,444000000,444000000,1406000000,256000000,620000000,1985000000,None,-28000000,None,28000000,None,8000000,None,208000000,1386000000,270000000,None,1116000000,None,1414000000,1622000000,1116000000,ADBE
2021-02-28,USD,3458000000,3905000000,447000000,447000000,1454000000,290000000,620000000,2004000000,None,-30000000,None,30000000,None,9000000,None,196000000,1433000000,172000000,None,1261000000,None,1463000000,1659000000,1261000000,ADBE
2020-11-30,USD,2996000000,3424000000,428000000,428000000,1215000000,243000000,558000000,1781000000,None,-27000000,6000000,27000000,None,9000000,None,190000000,1197000000,-1053000000,None,2250000000,None,1224000000,1414000000,2250000000,ADBE
2020-08-31,USD,2798000000,3225000000,427000000,427000000,1069000000,230000000,566000000,1729000000,None,-21000000,7000000,27000000,None,19000000,None,191000000,1060000000,105000000,None,955000000,None,1088000000,1279000000,955000000,ADBE
2020-05-31,USD,2713000000,3128000000,415000000,415000000,1016000000,224000000,532000000,1697000000,None,-17000000,11000000,27000000,None,12000000,None,188000000,1000000000,-100000000,None,1100000000,None,1028000000,1216000000,1100000000,ADBE
2020-02-29,USD,2639000000,3091000000,452000000,452000000,937000000,271000000,532000000,1702000000,None,-14000000,19000000,33000000,None,15000000,None,188000000,919000000,-36000000,None,955000000,None,952000000,1140000000,955000000,ADBE
2019-11-30,USD,2539961000,2991944000,451983000,451983000,969931000,225938000,499806000,1570030000,None,-18303000,18212000,36515000,None,23730000,None,183692000,957147000,105286000,None,851861000,None,993358000,1177050000,851861000,ADBE
2019-08-31,USD,2418163000,2834126000,415963000,415963000,853812000,219256000,489827000,1564000000,None,-21769000,17760000,40000000,None,20205000,None,150549000,834488000,41725000,None,792763000,None,874017000,1024566000,792763000,ADBE
2019-05-31,USD,2336792000,2744280000,407488000,407488000,749547000,219334000,475958000,1587000000,None,-24299000,16278000,40000000,None,1802000,None,187000000,710772000,78179000,None,632593000,None,750000000,937000000,632593000,ADBE
2019-02-28,USD,2203660000,2600946000,397286000,397286000,694830000,216109000,464637000,1509000000,None,-24522000,16071000,41000000,None,48097000,None,144898000,702334000,28093000,None,674241000,None,742927000,887825000,674241000,ADBE
2018-11-30,USD,2105364000,2464625000,359261000,359261000,720546000,212355000,415958000,1384818000,None,None,None,27873000,None,6544000,None,106720000,699217000,20977000,None,678240000,None,720546000,827266000,678240000,ADBE
2018-08-31,USD,1995584000,2291076000,295492000,295492000,718606000,184063000,398957000,1276978000,None,None,None,21107000,None,3859000,None,86890000,701358000,35067000,None,666291000,None,722465000,809355000,666291000,ADBE
2018-05-31,USD,1914016000,2195360000,281344000,281344000,698484000,178040000,374128000,1215532000,None,None,None,20363000,None,12678000,None,76360000,690799000,27632000,None,663167000,None,711162000,787522000,663167000,ADBE
2018-02-28,USD,1820045000,2078947000,258902000,258902000,702733000,170440000,348769000,1117312000,None,None,None,19899000,None,19668000,None,76522000,702502000,119426000,None,583076000,None,722401000,798923000,583076000,ADBE
2017-11-30,USD,1735723000,2006595000,270872000,270872000,649340000,169567000,324026000,1086383000,None,None,None,19116000,None,12788000,None,81234000,643012000,141463000,None,501549000,None,649340000,730574000,501549000,ADBE
2017-08-31,USD,1578152000,1841074000,262922000,262922000,545674000,147402000,315555000,1032478000,None,None,None,18809000,None,14514000,None,82319000,541379000,121810000,None,419569000,None,560188000,642507000,419569000,ADBE
2017-05-31,USD,1532830000,1772190000,239360000,239360000,504082000,156929000,299401000,1028748000,None,None,None,18347000,None,6883000,None,81635000,492618000,118228000,None,374390000,None,510965000,592600000,374390000,ADBE
2017-02-28,USD,1444309000,1681646000,237337000,237337000,468999000,150808000,285077000,975310000,None,None,None,18130000,None,9763000,None,80809000,460632000,62186000,None,398446000,None,478762000,559571000,398446000,ADBE
2016-11-30,USD,1391863000,1608419000,216556000,216556000,472280000,148477000,257849000,919868000,None,None,None,17518000,None,1938000,None,81860000,456700000,57087000,None,399613000,None,474218000,556078000,399613000,ADBE
2016-08-31,USD,1261266000,1463967000,202701000,202701000,369325000,143702000,248450000,891941000,None,None,None,17281000,None,4257000,None,84014000,356301000,85513000,None,270788000,None,373582000,457596000,270788000,ADBE
2016-05-31,USD,1196630000,1398709000,202079000,202079000,344239000,138596000,232484000,852857000,None,None,None,17174000,None,2765000,None,84461000,329830000,85756000,None,244074000,None,344239000,428700000,244074000,ADBE
2016-02-29,USD,1184763000,1383335000,198572000,198572000,307758000,146935000,237204000,877424000,None,None,None,4187000,None,3018000,None,81200000,292307000,38000000,None,254307000,None,307758000,388958000,254307000,ADBE
2015-11-30,USD,1105043000,1306404000,201361000,201361000,290434000,134052000,220514000,814088000,None,None,None,16515000,None,23021000,None,86359000,296940000,74235000,None,222705000,None,313455000,399814000,222705000,ADBE
2015-08-31,USD,1026783000,1217768000,190985000,190985000,246019000,122578000,218660000,781515000,None,None,None,16519000,None,3119000,None,87550000,232619000,58154000,None,174465000,None,245268000,332818000,174465000,ADBE
2015-05-31,USD,976985000,1162158000,185173000,185173000,193617000,130208000,208047000,783334000,None,None,None,16605000,None,3962000,None,85929000,180974000,33481000,None,147493000,None,193651000,279580000,147493000,ADBE
2015-02-28,USD,942383000,1109181000,166798000,166798000,173025000,145081000,215509000,767603000,None,None,None,14545000,None,4768000,None,79635000,163248000,78360000,None,84888000,None,174780000,254415000,84888000,ADBE
