fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Ticker
2025-10-31,USD,95144000000,21063000000,8978000000,8978000000,None,5474000000,74081000000,5096000000,None,3491000000,3491000000,52457000000,None,6410000000,2345000000,4266000000,None,35123000000,21410000000,None,None,None,564000000,13713000000,2701000000,8438000000,None,None,11139000000,5850000000,3138000000,60021000000,None,20673000000,1000000,962000000,CRM
2025-07-31,USD,97573000000,25331000000,10365000000,10365000000,None,7458000000,72242000000,5182000000,None,3669000000,3669000000,51438000000,None,5085000000,5007000000,2501000000,None,36245000000,22532000000,5397000000,None,None,580000000,13713000000,2801000000,8436000000,None,None,11237000000,5397000000,3056000000,61328000000,None,18987000000,1000000,962000000,CRM
2025-04-30,USD,98610000000,25866000000,10928000000,10928000000,None,4354000000,72744000000,5260000000,None,4033000000,4033000000,51281000000,None,4941000000,6480000000,4104000000,None,37944000000,24196000000,5804000000,None,None,593000000,13748000000,2934000000,8435000000,None,None,11369000000,5804000000,2972000000,60666000000,None,17504000000,1000000,970000000,CRM
2025-01-31,USD,102928000000,29727000000,8848000000,8848000000,None,11945000000,73201000000,5393000000,None,4428000000,4428000000,51283000000,None,4852000000,5184000000,3750000000,None,41755000000,27980000000,6658000000,None,None,579000000,13775000000,2959000000,8433000000,None,None,11392000000,6658000000,2962000000,61173000000,None,16369000000,1000000,974000000,CRM
2024-10-31,USD,91395000000,21425000000,7997000000,7997000000,None,4741000000,69970000000,5583000000,None,4119000000,4119000000,49093000000,None,4845000000,4760000000,3927000000,None,32870000000,19375000000,3163000000,None,None,572000000,13495000000,2992000000,8432000000,None,None,11424000000,5331000000,2643000000,58525000000,None,15049000000,1000000,975000000,CRM
2024-07-31,USD,92180000000,21862000000,7682000000,7682000000,None,5391000000,70318000000,None,None,4415000000,4415000000,48941000000,None,5017000000,4954000000,3835000000,None,34547000000,21001000000,3330000000,None,None,559000000,13546000000,2963000000,8430000000,None,None,11393000000,5220000000,2712000000,57633000000,None,13907000000,1000000,973000000,CRM
2024-04-30,USD,96180000000,25604000000,9958000000,9958000000,None,4273000000,70576000000,None,None,4869000000,4869000000,48940000000,None,4978000000,7712000000,3661000000,None,36497000000,23149000000,3729000000,None,None,1568000000,13348000000,3087000000,8429000000,1000000000,None,12516000000,5520000000,2400000000,59683000000,None,12866000000,1000000,985000000,CRM
2024-01-31,USD,99823000000,29074000000,8472000000,8472000000,None,11414000000,70749000000,None,None,5278000000,5278000000,48620000000,None,4848000000,5722000000,3466000000,None,40177000000,26631000000,3239000000,None,None,1517000000,13546000000,3162000000,8427000000,999000000,None,12588000000,6111000000,2475000000,59646000000,None,11721000000,1000000,983000000,CRM
2023-10-31,USD,91022000000,20202000000,6453000000,6453000000,1757000000,4850000000,70820000000,6325000000,None,5737000000,5737000000,48614000000,None,4774000000,5410000000,3489000000,None,32932000000,19394000000,3412000000,None,None,1522000000,13538000000,3287000000,8426000000,999000000,None,12712000000,5308000000,2348000000,58090000000,None,10275000000,1000000,981000000,CRM
2023-07-31,USD,92447000000,21138000000,6772000000,6772000000,1781000000,5400000000,71309000000,6451000000,None,6182000000,6182000000,48566000000,None,4778000000,5625000000,3341000000,None,34365000000,20805000000,3275000000,None,None,1509000000,13560000000,3377000000,8424000000,999000000,None,12800000000,5059000000,2269000000,58082000000,None,9051000000,1000000,986000000,CRM
