fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
2025-10-31,USD,8004000000,10259000000,2255000000,2255000000,2188000000,667000000,1433000000,5816000000,None,None,263000000,None,None,None,None,851000000,2512000000,426000000,None,None,None,2154000000,3005000000,2086000000,CRM
2025-07-31,USD,7994000000,10236000000,2242000000,2242000000,2332000000,734000000,1481000000,5658000000,None,None,25000000,67000000,None,None,None,817000000,2406000000,519000000,None,1887000000,None,2406000000,3223000000,1887000000,CRM
2025-04-30,USD,7564000000,9829000000,2265000000,2265000000,1942000000,697000000,1460000000,5622000000,None,None,84000000,68000000,None,None,None,843000000,1974000000,433000000,None,1541000000,None,1906000000,2749000000,1541000000,CRM
2025-01-31,USD,7776000000,9993000000,2217000000,2217000000,1820000000,767000000,1420000000,5956000000,None,None,178000000,None,None,None,None,877000000,1988000000,280000000,None,1708000000,None,2118000000,2995000000,1708000000,CRM
2024-10-31,USD,7339000000,9444000000,2105000000,2105000000,1893000000,711000000,1356000000,5446000000,None,None,42000000,None,None,None,None,814000000,1746000000,219000000,None,1527000000,None,1949000000,2763000000,1527000000,CRM
2024-07-31,USD,7166000000,9325000000,2159000000,2159000000,1783000000,711000000,1349000000,5383000000,None,None,None,None,None,None,None,907000000,1837000000,408000000,None,1429000000,None,1882000000,2789000000,1429000000,CRM
2024-04-30,USD,6971000000,9133000000,2162000000,2162000000,1709000000,647000000,1368000000,5254000000,None,None,None,None,None,None,None,879000000,1867000000,334000000,None,1533000000,None,1717000000,2596000000,1533000000,CRM
2024-01-31,USD,7139000000,9287000000,2148000000,2148000000,1622000000,632000000,1275000000,5517000000,None,None,None,140000000,None,None,None,953000000,1645000000,199000000,None,1446000000,None,1801000000,2754000000,1446000000,CRM
2023-10-31,USD,6565000000,8720000000,2155000000,2155000000,1501000000,632000000,1204000000,5064000000,None,None,None,70000000,None,None,None,862000000,1487000000,263000000,None,1224000000,None,1556000000,2418000000,1224000000,CRM
2023-07-31,USD,6490000000,8603000000,2113000000,2113000000,1476000000,909000000,1220000000,4965000000,None,-41000000,29000000,70000000,None,None,None,890000000,1492000000,225000000,None,1267000000,None,1603000000,2493000000,1267000000,CRM
2023-04-30,USD,6122000000,8247000000,2125000000,2125000000,1975000000,638000000,1207000000,4999000000,None,67000000,141000000,74000000,None,-86000000,None,1254000000,326000000,127000000,None,199000000,None,1975000000,3229000000,199000000,CRM
2023-01-31,USD,6284000000,8384000000,2100000000,2100000000,357000000,586000000,1128000000,5927000000,None,252000000,314000000,63000000,None,-324000000,None,1032000000,33000000,131000000,None,-98000000,None,1185000000,2217000000,-98000000,CRM
2022-10-31,USD,5749000000,7837000000,2088000000,2088000000,460000000,664000000,1280000000,5289000000,None,-59000000,16000000,75000000,None,15000000,None,918000000,475000000,265000000,None,210000000,None,460000000,1378000000,210000000,CRM
2022-07-31,USD,5593000000,7720000000,2127000000,2127000000,148000000,647000000,1329000000,5400000000,None,-65000000,11000000,76000000,None,-12000000,None,907000000,181000000,113000000,None,68000000,None,148000000,1055000000,68000000,CRM
2022-04-30,USD,5366000000,7411000000,2045000000,2045000000,13000000,656000000,1318000000,5346000000,None,-18000000,56000000,74000000,None,-49000000,None,906000000,-29000000,-57000000,None,28000000,None,13000000,919000000,28000000,CRM
2022-01-31,USD,5312000000,7326000000,2014000000,2014000000,-176000000,733000000,1291000000,5488000000,None,21000000,34000000,13000000,None,-21000000,None,931000000,-197000000,-169000000,None,-28000000,None,-176000000,755000000,-28000000,CRM
2021-10-31,USD,5019000000,6863000000,1844000000,1844000000,38000000,667000000,1203000000,4981000000,None,230000000,302000000,72000000,None,261000000,None,963000000,299000000,-169000000,None,468000000,None,299000000,1262000000,468000000,CRM
2021-07-31,USD,4727000000,6340000000,1613000000,1613000000,332000000,639000000,1020000000,4395000000,None,None,506000000,None,None,494000000,None,719000000,826000000,291000000,None,535000000,None,332000000,1051000000,535000000,CRM
2021-04-30,USD,4408000000,5963000000,1555000000,1555000000,354000000,559000000,951000000,4054000000,None,None,269000000,None,None,250000000,None,685000000,604000000,135000000,None,469000000,None,354000000,1039000000,469000000,CRM
2021-01-31,USD,4338000000,5817000000,1479000000,1479000000,193000000,574000000,939000000,4145000000,None,None,260000000,None,None,424000000,None,869000000,425000000,158000000,None,267000000,None,193000000,1062000000,267000000,CRM
2020-10-31,USD,4025000000,5419000000,1394000000,1394000000,224000000,522000000,902000000,3801000000,None,None,1030000000,None,None,1026000000,None,670000000,1250000000,169000000,None,1081000000,None,224000000,894000000,1081000000,CRM
2020-07-31,USD,3840000000,5151000000,1311000000,1311000000,178000000,489000000,898000000,3662000000,None,0,676000000,676000000,None,661000000,None,649000000,839000000,-1786000000,None,2625000000,None,178000000,827000000,2625000000,CRM
2020-04-30,USD,3611000000,4865000000,1254000000,1254000000,-140000000,502000000,859000000,3751000000,None,0,195000000,195000000,None,-5000000,None,658000000,47000000,-52000000,None,99000000,None,-140000000,518000000,99000000,CRM
2020-01-31,USD,3631000000,4851000000,1220000000,1220000000,-36000000,490000000,831000000,3667000000,None,0,30000000,34000000,None,1000000,None,633000000,-4000000,244000000,None,-248000000,None,-36000000,597000000,-248000000,CRM
2019-10-31,USD,3379000000,4513000000,1134000000,1134000000,65000000,477000000,774000000,3314000000,None,0,7000000,7000000,None,-7000000,None,608000000,64000000,173000000,None,-109000000,None,65000000,673000000,-109000000,CRM
2019-07-31,USD,3030000000,3997000000,967000000,967000000,58000000,375000000,607000000,2972000000,None,-3000000,31000000,34000000,None,-3000000,None,395000000,164000000,73000000,None,91000000,None,224000000,619000000,91000000,CRM
2019-04-30,USD,2823000000,3737000000,914000000,914000000,210000000,362000000,554000000,2613000000,None,0,272000000,272000000,None,-9000000,None,376000000,482000000,90000000,None,392000000,None,210000000,586000000,392000000,CRM
2019-01-31,USD,2657000000,3603000000,946000000,946000000,137000000,359000000,518000000,2520000000,None,None,None,41000000,None,143000000,None,273000000,239000000,-123000000,None,362000000,None,280000000,553000000,362000000,CRM
2018-10-31,USD,2503000000,3392000000,889000000,889000000,92000000,342000000,481000000,2411000000,None,None,None,40000000,None,76000000,None,257000000,128000000,23000000,None,105000000,None,92000000,349000000,105000000,CRM
2018-07-31,USD,2432000000,3281000000,849000000,849000000,115000000,350000000,463000000,2317000000,None,None,None,39000000,None,155000000,None,253000000,231000000,-68000000,None,299000000,None,270000000,523000000,299000000,CRM
2018-04-30,USD,2239000000,3006000000,767000000,767000000,191000000,295000000,424000000,2048000000,None,None,None,34000000,None,228000000,None,197000000,385000000,41000000,None,344000000,None,191000000,388000000,344000000,CRM
2018-01-31,USD,2113211000,2851003000,737792000,737792000,77869000,274490000,396547000,2035342000,None,None,None,21561000,None,31909000,None,187689000,88217000,20662000,None,67555000,None,109778000,297467000,67555000,CRM
