fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Ticker
2025-10-31,USD,121102000000,32876000000,8400000000,8400000000,3395000000,7912000000,88226000000,3551000000,None,8713000000,8713000000,59119000000,None,None,7336000000,5833000000,None,74229000000,35451000000,2418000000,None,None,6725000000,38778000000,None,21364000000,6725000000,None,28089000000,10507000000,3074000000,46873000000,None,-364000000,48167000000,3993000000,CSCO
2025-07-31,USD,122291000000,34986000000,9473000000,9473000000,3164000000,11462000000,87305000000,3414000000,None,9175000000,9175000000,59136000000,None,None,7764000000,3123000000,None,75448000000,35064000000,2528000000,None,None,5607000000,40384000000,None,22861000000,5232000000,None,29643000000,8656000000,2995000000,46843000000,None,50000000,47747000000,3992000000,CSCO
2025-04-30,USD,119782000000,31316000000,9666000000,9666000000,2832000000,11235000000,88466000000,3295000000,None,9643000000,9643000000,59024000000,None,None,7481000000,102000000,None,73847000000,34495000000,2260000000,None,None,6772000000,39352000000,None,22857000000,6422000000,None,30745000000,7561000000,2711000000,45935000000,None,152000000,46916000000,4004000000,CSCO
2025-01-31,USD,121375000000,34681000000,8556000000,8556000000,2927000000,8743000000,86694000000,3126000000,None,10139000000,10139000000,58719000000,None,None,8297000000,6158000000,None,75845000000,40019000000,1902000000,None,None,11775000000,35826000000,None,19625000000,11412000000,None,32422000000,8459000000,2649000000,45530000000,None,502000000,46521000000,4005000000,CSCO
2024-10-31,USD,123333000000,35752000000,9065000000,9065000000,3143000000,7580000000,87581000000,3174000000,None,10744000000,10744000000,58774000000,None,None,9606000000,6358000000,None,78056000000,40542000000,1996000000,None,None,12721000000,37514000000,None,19623000000,12364000000,None,33290000000,8114000000,2637000000,45277000000,None,662000000,45991000000,4013000000,CSCO
2024-07-31,USD,124413000000,36862000000,9023000000,9023000000,3373000000,10023000000,87551000000,None,None,11219000000,11219000000,58660000000,None,None,10346000000,4097000000,None,78956000000,40584000000,2304000000,None,None,11705000000,38372000000,None,19621000000,11341000000,None,32232000000,8887000000,2540000000,45457000000,None,1087000000,45800000000,4035000000,CSCO
2024-04-30,USD,122998000000,35886000000,10428000000,10428000000,3118000000,8570000000,87112000000,None,None,11819000000,11819000000,58633000000,None,None,9857000000,3913000000,None,77230000000,40108000000,2054000000,None,None,12235000000,37122000000,None,20102000000,11891000000,None,33198000000,8201000000,2427000000,45768000000,None,2055000000,45343000000,4060000000,CSCO
2024-01-31,USD,101174000000,42127000000,13715000000,13715000000,3209000000,8360000000,59047000000,None,None,1678000000,1678000000,39087000000,None,None,11956000000,4887000000,None,54923000000,30851000000,1848000000,None,None,4936000000,24072000000,None,6669000000,4936000000,None,11605000000,8180000000,2253000000,46251000000,None,2761000000,45002000000,4073000000,CSCO
2023-10-31,USD,98782000000,39659000000,9602000000,9602000000,3342000000,8247000000,59123000000,2004000000,None,1914000000,1914000000,38900000000,None,None,13921000000,4547000000,None,53572000000,27035000000,2084000000,None,None,990000000,26537000000,None,6660000000,990000000,None,7650000000,7769000000,2240000000,45210000000,None,2689000000,44546000000,4087000000,CSCO
2023-07-31,USD,101852000000,43348000000,10123000000,10123000000,3644000000,9206000000,58504000000,2085000000,None,1818000000,1818000000,38535000000,None,None,16023000000,4352000000,None,57499000000,31309000000,2313000000,None,None,1733000000,26190000000,None,6658000000,1733000000,None,8391000000,9120000000,2134000000,44353000000,None,1639000000,44289000000,4093000000,CSCO
