fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Ticker
2026-07-31,USD,5386000000,None,None,None,None,638000000,390000000,None,-992000000,None,-264000000,-5006000000,None,None,None,None,1659000000,1659000000,None,None,None,None,-1501000000,None,927000000,None,None,3859000000,CSCO
2026-04-30,USD,3757000000,None,None,None,None,628000000,192000000,None,27000000,None,-2070000000,-2039000000,None,None,None,None,1574000000,1574000000,None,None,None,None,-2013000000,None,1075000000,None,None,2662000000,CSCO
2026-01-31,USD,1822000000,None,None,None,None,659000000,323000000,None,-527000000,None,-1306000000,-1439000000,None,None,None,None,1617000000,1617000000,None,None,None,None,-1079000000,None,934000000,None,None,3175000000,CSCO
2025-10-31,USD,3212000000,None,None,None,None,606000000,323000000,None,-234000000,None,156000000,-3863000000,None,None,None,None,1617000000,1617000000,None,None,None,None,-2276000000,None,1055000000,None,None,2860000000,CSCO
2025-07-31,USD,4234000000,None,None,None,None,635000000,217000000,None,-332000000,None,-273000000,-3949000000,None,None,None,None,1625000000,1625000000,None,None,None,None,-1564000000,None,948000000,None,None,2550000000,CSCO
2025-04-30,USD,4057000000,None,None,None,None,626000000,261000000,None,100000000,None,505000000,-5137000000,None,None,None,None,1627000000,1627000000,None,None,None,None,-2415000000,None,945000000,None,None,2491000000,CSCO
2025-01-31,USD,2241000000,None,None,None,None,761000000,210000000,None,212000000,None,1022000000,-3945000000,None,None,None,None,1593000000,1593000000,None,None,None,None,-1075000000,None,921000000,None,None,2428000000,CSCO
2024-10-31,USD,3661000000,None,None,None,None,789000000,217000000,None,229000000,None,479000000,-2784000000,None,None,None,None,1592000000,1592000000,None,None,None,None,-2168000000,None,827000000,None,None,2711000000,CSCO
2024-07-31,USD,3730000000,None,None,None,None,823000000,198000000,None,-255000000,None,-828000000,-4507000000,None,None,None,None,1606000000,1606000000,None,None,None,None,-2242000000,None,800000000,None,None,2162000000,CSCO
2024-04-30,USD,3971000000,None,None,None,None,861000000,168000000,None,88000000,None,-22815000000,14072000000,None,None,None,None,1615000000,1615000000,None,None,None,None,-2033000000,None,811000000,None,None,1886000000,CSCO
2024-01-31,USD,808000000,None,None,None,None,422000000,170000000,None,135000000,None,2213000000,1079000000,None,None,None,None,1583000000,1583000000,None,None,None,None,-1632000000,None,802000000,None,None,2634000000,CSCO
