fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
2026-01-31,USD,9972000000,15349000000,5377000000,5377000000,3781000000,688000000,2355000000,6191000000,None,-160000000,160000000,370000000,None,None,None,659000000,3646000000,471000000,None,3175000000,None,4016000000,4675000000,3175000000,CSCO
2025-10-31,USD,9745000000,14883000000,5138000000,5138000000,3363000000,733000000,2400000000,6382000000,None,-128000000,222000000,350000000,None,None,None,606000000,3391000000,531000000,None,2860000000,None,3741000000,4347000000,2860000000,CSCO
2025-07-31,USD,9280000000,14673000000,5393000000,5393000000,3087000000,706000000,2380000000,6193000000,None,-141000000,227000000,368000000,None,None,None,635000000,2999000000,449000000,None,2550000000,None,3367000000,4002000000,2550000000,CSCO
2025-04-30,USD,9278000000,14149000000,4871000000,4871000000,3202000000,739000000,2335000000,6076000000,None,-153000000,250000000,403000000,None,None,None,626000000,2947000000,456000000,None,2491000000,None,3350000000,3976000000,2491000000,CSCO
2025-01-31,USD,9111000000,13991000000,4880000000,4880000000,3113000000,752000000,2299000000,5998000000,None,-166000000,238000000,404000000,None,None,None,761000000,2887000000,459000000,None,2428000000,None,3291000000,4052000000,2428000000,CSCO
2024-10-31,USD,9121000000,13841000000,4720000000,4720000000,2358000000,795000000,2286000000,6763000000,None,-132000000,286000000,418000000,None,None,None,789000000,2267000000,-444000000,None,2711000000,None,2685000000,3474000000,2711000000,CSCO
2024-07-31,USD,8781000000,13642000000,4861000000,4861000000,2618000000,763000000,2179000000,6163000000,None,-148000000,270000000,418000000,None,None,None,823000000,2396000000,234000000,None,2162000000,None,2814000000,3637000000,2162000000,CSCO
2024-04-30,USD,8273000000,12702000000,4429000000,4429000000,2191000000,736000000,1948000000,6082000000,None,54000000,411000000,357000000,None,None,None,861000000,2235000000,349000000,None,1886000000,None,2592000000,3453000000,1886000000,CSCO
2024-01-31,USD,8217000000,12791000000,4574000000,4574000000,3096000000,642000000,1943000000,5121000000,None,204000000,324000000,120000000,None,None,None,422000000,3161000000,527000000,None,2634000000,None,3281000000,3703000000,2634000000,CSCO
2023-10-31,USD,9557000000,14668000000,5111000000,5111000000,4276000000,672000000,1913000000,5281000000,None,249000000,360000000,111000000,None,None,None,401000000,4442000000,804000000,None,3638000000,None,4553000000,4954000000,3638000000,CSCO
2023-07-31,USD,9748000000,15203000000,5455000000,5455000000,4253000000,690000000,1953000000,5495000000,None,201000000,312000000,111000000,None,None,None,422000000,4471000000,513000000,None,3958000000,None,4582000000,5004000000,3958000000,CSCO
2023-04-30,USD,9232000000,14571000000,5339000000,5339000000,3946000000,641000000,1962000000,5286000000,None,153000000,153000000,109000000,None,120000000,None,451000000,3957000000,745000000,None,3212000000,None,4066000000,4517000000,3212000000,CSCO
2023-01-31,USD,8427000000,13592000000,5165000000,5165000000,3292000000,582000000,1855000000,5135000000,None,112000000,112000000,107000000,None,230000000,None,438000000,3415000000,642000000,None,2773000000,None,3522000000,3960000000,2773000000,CSCO
2022-10-31,USD,8346000000,13632000000,5286000000,5286000000,3540000000,565000000,1781000000,4806000000,None,69000000,169000000,100000000,None,35000000,None,415000000,3475000000,805000000,None,2670000000,None,3575000000,3990000000,2670000000,CSCO
2022-07-31,USD,7952000000,13102000000,5150000000,5150000000,3472000000,489000000,1682000000,4480000000,None,36000000,129000000,93000000,None,75000000,None,430000000,3416000000,601000000,None,2815000000,None,3509000000,3939000000,2815000000,CSCO
2022-04-30,USD,8121000000,12835000000,4714000000,4714000000,3610000000,517000000,1708000000,4511000000,None,25000000,115000000,90000000,None,281000000,None,478000000,3801000000,757000000,None,3044000000,None,3891000000,4369000000,3044000000,CSCO
2022-01-31,USD,8049000000,12720000000,4671000000,4671000000,3487000000,544000000,1670000000,4562000000,None,23000000,111000000,88000000,None,204000000,None,516000000,3603000000,630000000,None,2973000000,None,3691000000,4207000000,2973000000,CSCO
2021-10-31,USD,8053000000,12900000000,4847000000,4847000000,3438000000,551000000,1714000000,4615000000,None,32000000,121000000,89000000,None,308000000,None,533000000,3657000000,677000000,None,2980000000,None,3746000000,4279000000,2980000000,CSCO
2021-07-31,USD,8344000000,13126000000,4782000000,4782000000,3575000000,521000000,1713000000,4769000000,None,32000000,130000000,98000000,None,258000000,None,489000000,3735000000,726000000,None,3009000000,None,3833000000,4322000000,3009000000,CSCO
2021-04-30,USD,8185000000,12803000000,4618000000,4618000000,3465000000,603000000,1697000000,4720000000,None,42000000,153000000,111000000,None,237000000,None,486000000,3591000000,728000000,None,2863000000,None,3702000000,4188000000,2863000000,CSCO
2021-01-31,USD,7784000000,11960000000,4176000000,4176000000,3223000000,484000000,1527000000,4561000000,None,48000000,161000000,113000000,None,145000000,None,436000000,3255000000,710000000,None,2545000000,None,3457000000,3893000000,2545000000,CSCO
2020-10-31,USD,7581000000,11929000000,4348000000,4348000000,2570000000,544000000,1612000000,5011000000,None,62000000,174000000,112000000,None,223000000,None,451000000,2681000000,507000000,None,2174000000,None,3176000000,3627000000,2174000000,CSCO
2020-07-31,USD,7684000000,12154000000,4470000000,4470000000,3247000000,494000000,1565000000,4437000000,None,68000000,187000000,119000000,None,None,None,444000000,3306000000,670000000,None,2636000000,None,3425000000,3869000000,2636000000,CSCO
2020-04-30,USD,7771000000,11983000000,4212000000,4212000000,3414000000,457000000,1546000000,4357000000,None,88000000,218000000,130000000,None,160000000,None,446000000,3444000000,670000000,None,2774000000,None,3542000000,3988000000,2774000000,CSCO
2020-01-31,USD,7764000000,12005000000,4241000000,4241000000,3380000000,455000000,1570000000,4384000000,None,84000000,242000000,158000000,None,312000000,None,457000000,3534000000,656000000,None,2878000000,None,3692000000,4149000000,2878000000,CSCO
2019-10-31,USD,8464000000,13159000000,4695000000,4695000000,3579000000,519000000,1666000000,4885000000,None,95000000,273000000,178000000,None,None,None,461000000,3686000000,760000000,None,2926000000,None,3768000000,4229000000,2926000000,CSCO
2019-07-31,USD,8574000000,13428000000,4854000000,4854000000,3690000000,566000000,1753000000,4884000000,None,101000000,305000000,204000000,None,218000000,None,464000000,3704000000,1498000000,None,2206000000,None,3910000000,4374000000,2206000000,CSCO
2019-04-30,USD,8173000000,12958000000,4785000000,4785000000,3513000000,541000000,1659000000,4642000000,None,120000000,331000000,211000000,None,313000000,None,481000000,3615000000,571000000,None,3044000000,None,3826000000,4307000000,3044000000,CSCO
2019-01-31,USD,7773000000,12446000000,4673000000,4673000000,3211000000,509000000,1557000000,4562000000,None,None,None,223000000,None,355000000,None,487000000,3343000000,521000000,None,2822000000,None,3566000000,4053000000,2822000000,CSCO
2018-10-31,USD,8146000000,13072000000,4926000000,4926000000,3805000000,211000000,1608000000,4341000000,None,None,None,221000000,None,325000000,None,465000000,3909000000,360000000,None,3549000000,None,3493000000,3958000000,3549000000,CSCO
2018-07-31,USD,7922000000,12844000000,4922000000,4922000000,3346000000,543000000,1626000000,4576000000,None,None,None,224000000,None,470000000,None,516000000,3592000000,-211000000,None,3803000000,None,3816000000,4332000000,3803000000,CSCO
2018-04-30,USD,7759000000,12463000000,4704000000,4704000000,3134000000,561000000,1590000000,4625000000,None,None,None,237000000,None,356000000,None,564000000,3253000000,562000000,None,2691000000,None,3490000000,4054000000,2691000000,CSCO
2018-01-31,USD,7498000000,11887000000,4389000000,4389000000,3073000000,483000000,1549000000,4425000000,None,None,None,247000000,None,406000000,None,546000000,3232000000,12010000000,None,-8778000000,None,3171000000,3717000000,-8778000000,CSCO
