fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Ticker
2025-12-31,USD,211429000000,63688000000,14265000000,14265000000,11618000000,3839000000,147741000000,105414000000,None,2772000000,2772000000,23912000000,None,8512000000,23151000000,22433000000,None,85069000000,31575000000,9882000000,None,None,2499000000,53494000000,None,44086000000,2499000000,None,46585000000,18590000000,9408000000,114281000000,None,48983000000,65185000000,4856000000,INTC
2025-09-30,USD,204514000000,51731000000,11141000000,11141000000,11489000000,3202000000,152783000000,105047000000,None,2877000000,2877000000,23912000000,None,8667000000,19794000000,17594000000,None,87784000000,32297000000,10268000000,None,None,2496000000,55487000000,None,44057000000,2496000000,None,46553000000,18708000000,11430000000,106376000000,None,49602000000,56755000000,4531000000,INTC
2025-06-30,USD,192520000000,43375000000,9643000000,9643000000,11377000000,2360000000,149145000000,109510000000,None,3057000000,3057000000,23912000000,None,5383000000,11563000000,8432000000,None,86769000000,34966000000,10666000000,None,None,6731000000,51803000000,None,44026000000,6731000000,None,50757000000,16682000000,7777000000,97883000000,None,45484000000,52334000000,4369000000,INTC
2025-03-31,USD,192242000000,42134000000,8947000000,8947000000,12281000000,3064000000,150108000000,109763000000,None,3568000000,3568000000,24693000000,None,5027000000,12101000000,5741000000,None,85829000000,32174000000,10896000000,None,None,5240000000,53655000000,None,44911000000,5240000000,None,50151000000,14165000000,8744000000,99756000000,None,48322000000,51920000000,4343000000,INTC
2024-12-31,USD,196485000000,47324000000,8249000000,8249000000,12198000000,3478000000,149161000000,107919000000,None,3691000000,3691000000,24693000000,None,5383000000,13813000000,9586000000,None,91453000000,35666000000,12556000000,None,None,3729000000,55787000000,None,46282000000,3729000000,None,50011000000,17625000000,9505000000,99270000000,None,49032000000,50949000000,4319000000,INTC
2024-09-30,USD,193542000000,46137000000,8785000000,8785000000,12062000000,3121000000,147405000000,104248000000,None,3975000000,3975000000,24680000000,None,5496000000,15301000000,6868000000,None,88678000000,35159000000,11074000000,None,None,3765000000,53519000000,None,46471000000,3765000000,None,50236000000,17880000000,7048000000,99532000000,None,49052000000,50665000000,4292000000,INTC
2024-06-30,USD,206205000000,50829000000,11287000000,11287000000,11244000000,3131000000,155376000000,103398000000,None,4383000000,4383000000,27442000000,None,5824000000,17986000000,7181000000,None,85771000000,32027000000,9618000000,None,None,4695000000,53744000000,None,48334000000,4695000000,None,53029000000,15858000000,5410000000,115229000000,None,66162000000,49763000000,4267000000,INTC
2024-03-31,USD,192733000000,42608000000,6923000000,6923000000,11494000000,3323000000,150125000000,99924000000,None,4675000000,4675000000,27440000000,None,6139000000,14388000000,6480000000,None,81977000000,27213000000,8559000000,None,None,4581000000,54764000000,None,47869000000,4581000000,None,52450000000,13727000000,6895000000,105973000000,None,68224000000,38291000000,4242000000,INTC
2023-12-31,USD,191572000000,43269000000,7079000000,7079000000,11127000000,3402000000,148303000000,96647000000,None,4589000000,4589000000,27591000000,None,5829000000,17955000000,3706000000,None,81607000000,28053000000,8578000000,None,None,2300000000,53554000000,None,46978000000,2300000000,None,49278000000,16068000000,6576000000,105590000000,None,69156000000,36649000000,4260000000,INTC
2023-09-30,USD,188837000000,43811000000,7621000000,7621000000,11466000000,2843000000,145026000000,93352000000,None,4970000000,4970000000,27591000000,None,5700000000,17409000000,4472000000,None,83151000000,28614000000,8669000000,None,None,2288000000,54537000000,None,46591000000,2288000000,None,48879000000,15545000000,7946000000,101813000000,None,67021000000,35653000000,4229000000,INTC
