fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Ticker
2025-09-30,USD,2546000000,None,None,None,None,2992000000,2425000000,None,-108000000,None,-6250000000,5152000000,None,None,None,None,0,0,None,None,None,None,5436000000,None,None,None,4270000000,INTC
2025-06-30,USD,2050000000,None,None,None,None,3013000000,3550000000,None,182000000,None,-2086000000,782000000,None,None,None,None,0,0,None,None,None,None,491000000,None,None,None,-3024000000,INTC
2025-03-31,USD,813000000,None,None,None,None,2674000000,5183000000,None,-83000000,None,81000000,-196000000,None,None,None,None,0,0,None,None,None,None,491000000,None,None,None,-887000000,INTC
2024-12-31,USD,3165000000,None,None,None,None,2647000000,5834000000,None,-136000000,None,-3764000000,63000000,None,None,None,None,1599000000,1599000000,None,None,None,None,987000000,None,None,None,-153000000,INTC
2024-09-30,USD,4054000000,None,None,None,None,3612000000,6458000000,None,-853000000,None,-2764000000,-3792000000,None,None,None,None,536000000,536000000,None,None,None,None,986000000,None,None,None,-16989000000,INTC
2024-06-30,USD,2292000000,None,None,None,None,2569000000,5682000000,None,250000000,None,-9165000000,11237000000,None,None,None,None,534000000,534000000,None,None,None,None,None,None,None,None,-1654000000,INTC
2024-03-31,USD,-1223000000,None,None,None,None,2551000000,5970000000,None,-366000000,None,-2563000000,3630000000,None,None,None,None,529000000,529000000,None,None,None,None,None,None,None,None,-437000000,INTC
2023-12-31,USD,4624000000,None,None,None,None,2513000000,6696000000,None,339000000,None,-5318000000,152000000,None,None,None,None,527000000,527000000,None,None,None,None,None,None,None,None,2660000000,INTC
2023-09-30,USD,5824000000,None,None,None,None,2447000000,5753000000,None,518000000,None,-18723000000,842000000,None,None,None,None,525000000,525000000,None,None,None,None,2423000000,None,None,None,310000000,INTC
2023-06-30,USD,2808000000,None,None,None,None,2276000000,5888000000,None,1009000000,None,-2808000000,117000000,None,None,None,None,524000000,524000000,None,None,None,None,465000000,None,117000000,None,1473000000,INTC
