fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
2025-12-31,USD,5043000000,13674000000,8631000000,8631000000,667000000,1174000000,3219000000,4376000000,None,186000000,242000000,145000000,None,None,None,None,338000000,671000000,None,-333000000,None,None,483000000,-591000000,INTC
2025-09-30,USD,5218000000,13653000000,8435000000,8435000000,683000000,1129000000,3231000000,4535000000,None,-189000000,228000000,282000000,None,None,None,2992000000,4574000000,304000000,None,4270000000,None,4856000000,7848000000,4063000000,INTC
2025-06-30,USD,3542000000,12859000000,9317000000,9317000000,-3176000000,1144000000,3684000000,6718000000,None,-189000000,210000000,227000000,None,None,None,3013000000,-2769000000,255000000,None,-3024000000,None,-2542000000,471000000,-2918000000,INTC
2025-03-31,USD,4672000000,12667000000,7995000000,7995000000,-301000000,1177000000,3640000000,4973000000,None,-173000000,245000000,299000000,None,None,None,2674000000,-586000000,301000000,None,-887000000,None,-287000000,2387000000,-821000000,INTC
2024-12-31,USD,5584000000,14260000000,8676000000,8676000000,412000000,383000000,3876000000,5172000000,None,626000000,822000000,196000000,None,None,None,2647000000,599000000,752000000,None,-153000000,None,833000000,3480000000,-126000000,INTC
2024-09-30,USD,1997000000,13284000000,11287000000,11287000000,-9057000000,1383000000,4049000000,11054000000,None,130000000,340000000,210000000,None,None,None,3612000000,-9086000000,7903000000,None,-16989000000,None,-8838000000,-5226000000,-16639000000,INTC
2024-06-30,USD,4547000000,12833000000,8286000000,8286000000,-1964000000,1329000000,4239000000,6511000000,None,80000000,320000000,294000000,None,None,None,2569000000,-2004000000,-350000000,None,-1654000000,None,-1710000000,859000000,-1610000000,INTC
2024-03-31,USD,5217000000,12724000000,7507000000,7507000000,-1069000000,1556000000,4382000000,6286000000,None,145000000,323000000,258000000,None,None,None,2551000000,-719000000,-282000000,None,-437000000,None,-461000000,2090000000,-381000000,INTC
2023-12-31,USD,7047000000,15406000000,8359000000,8359000000,2585000000,667000000,3987000000,4462000000,None,117000000,356000000,267000000,None,None,None,2513000000,2788000000,128000000,None,2660000000,None,3055000000,5568000000,2669000000,INTC
2023-09-30,USD,6018000000,14158000000,8140000000,8140000000,-8000000,1340000000,3870000000,6026000000,None,147000000,63000000,204000000,None,None,None,2447000000,-52000000,-362000000,None,310000000,None,152000000,2599000000,297000000,INTC
2023-06-30,USD,4638000000,12949000000,8311000000,8311000000,-1016000000,1374000000,4080000000,5654000000,None,224000000,200000000,214000000,None,224000000,None,2276000000,-816000000,-2289000000,None,1473000000,None,-602000000,1674000000,1481000000,INTC
2023-03-31,USD,4008000000,11715000000,7707000000,7707000000,-1468000000,1303000000,4109000000,5476000000,None,141000000,334000000,193000000,None,141000000,None,2366000000,-1158000000,1610000000,None,-2768000000,None,-965000000,1401000000,-2758000000,INTC
