fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Ticker
2025-11-30,None,204984000000,34366000000,19241000000,19241000000,None,9440000000,170618000000,None,None,3760000000,3760000000,62207000000,None,None,525000000,5160000000,None,174527000000,37795000000,10140000000,None,None,8091000000,136732000000,None,None,None,None,124386000000,-1261000000,None,30457000000,None,None,None,2916000000,ORCL
2025-08-31,USD,180449000000,24634000000,10445000000,10445000000,None,8843000000,155815000000,None,None,4167000000,4167000000,62211000000,None,None,560000000,4786000000,None,155783000000,39874000000,8203000000,None,None,9079000000,115909000000,14094000000,82236000000,9079000000,None,105409000000,-89000000,8996000000,24154000000,None,-14054000000,39378000000,2909000000,ORCL
2025-05-31,USD,168361000000,24579000000,10786000000,10786000000,None,8558000000,143782000000,None,None,4587000000,4587000000,62207000000,None,None,417000000,4818000000,None,147392000000,32643000000,5113000000,None,None,7271000000,114749000000,11536000000,85297000000,7271000000,None,104104000000,603000000,7647000000,20451000000,None,-15481000000,37107000000,2871000000,ORCL
2025-02-28,USD,161378000000,30116000000,17406000000,17406000000,None,8051000000,131262000000,None,None,5131000000,5131000000,62171000000,None,None,417000000,4242000000,None,144117000000,29623000000,2423000000,None,None,8167000000,114494000000,None,88109000000,8167000000,None,96276000000,201000000,14364000000,16730000000,None,-17368000000,35691000000,2874000000,ORCL
2024-11-30,USD,148483000000,23503000000,10941000000,10941000000,None,8177000000,124980000000,None,None,5679000000,5679000000,62204000000,None,None,370000000,4015000000,None,134247000000,29052000000,2679000000,None,None,8162000000,105195000000,None,80462000000,8162000000,None,88624000000,-772000000,12316000000,13746000000,None,-19045000000,34310000000,2869000000,ORCL
2024-08-31,USD,144214000000,23072000000,10616000000,10616000000,None,8021000000,121142000000,None,None,6270000000,6270000000,62249000000,None,None,295000000,4140000000,None,132945000000,32045000000,2207000000,None,None,9201000000,100900000000,None,75314000000,9201000000,None,84515000000,-1856000000,11106000000,10816000000,None,-20939000000,33083000000,2851000000,ORCL
2024-05-31,USD,140976000000,22554000000,10454000000,10454000000,334000000,7874000000,118422000000,None,None,6890000000,6890000000,62230000000,None,None,207000000,4019000000,None,131737000000,31544000000,2357000000,None,None,10605000000,100193000000,6255000000,76264000000,10605000000,None,93124000000,-1548000000,9420000000,8704000000,None,-22628000000,32764000000,2834000000,ORCL
2024-02-29,USD,137082000000,21063000000,9481000000,9481000000,None,7297000000,116019000000,None,None,7629000000,7629000000,62222000000,None,None,423000000,3862000000,None,130900000000,24885000000,1658000000,None,None,5510000000,106015000000,None,82470000000,5510000000,None,87980000000,-1665000000,8611000000,5623000000,None,-24533000000,31622000000,2819000000,ORCL
2023-11-30,USD,134324000000,19289000000,8244000000,8244000000,None,6804000000,115035000000,18009000000,None,8378000000,8378000000,62231000000,None,None,446000000,3795000000,None,129946000000,24407000000,1107000000,None,None,6321000000,105539000000,None,82468000000,6321000000,None,88789000000,-1945000000,7781000000,3866000000,None,-25431000000,30724000000,2817000000,ORCL
2023-08-31,USD,136662000000,22166000000,11613000000,11613000000,None,6519000000,114496000000,17644000000,None,9074000000,9074000000,62206000000,None,None,470000000,3564000000,None,133821000000,25357000000,1034000000,None,None,4499000000,108464000000,None,84442000000,4499000000,None,88941000000,-2497000000,7540000000,2370000000,None,-26428000000,30295000000,2823000000,ORCL
2023-05-31,USD,134384000000,21004000000,9765000000,9765000000,298000000,6915000000,113380000000,17069000000,None,9837000000,9837000000,62261000000,None,None,422000000,3902000000,None,132828000000,23090000000,1204000000,None,None,4061000000,109738000000,None,86420000000,4061000000,None,90481000000,-2222000000,6469000000,1073000000,None,-27620000000,30215000000,2796000000,ORCL
2023-02-28,USD,131620000000,18696000000,8219000000,8219000000,None,6213000000,112924000000,16345000000,None,10707000000,10707000000,61499000000,None,None,550000000,3714000000,None,133532000000,22880000000,1610000000,None,None,5415000000,110652000000,None,86396000000,5415000000,None,91811000000,-4078000000,17442000000,-2421000000,None,-29721000000,28994000000,2776000000,ORCL
2022-11-30,USD,128469000000,17561000000,6813000000,6813000000,None,6197000000,110908000000,14351000000,None,11593000000,11593000000,61513000000,None,None,537000000,4014000000,None,132245000000,27106000000,1647000000,None,None,9746000000,105139000000,None,81173000000,9746000000,None,90919000000,-4120000000,5673000000,-4246000000,None,-30617000000,28148000000,2746000000,ORCL
2022-08-31,USD,130309000000,21004000000,10448000000,10448000000,None,5937000000,109305000000,12280000000,None,12499000000,12499000000,61629000000,None,None,772000000,3847000000,None,135758000000,34819000000,1461000000,None,None,16097000000,100939000000,None,75480000000,16097000000,None,91577000000,-5340000000,17766000000,-5875000000,None,-31134000000,27224000000,2747000000,ORCL
2022-05-31,USD,109297000000,31633000000,21383000000,21383000000,314000000,5953000000,77664000000,9716000000,None,1440000000,1440000000,43811000000,None,None,519000000,3778000000,None,115065000000,19511000000,1317000000,None,None,3749000000,95554000000,None,72110000000,3749000000,None,75859000000,-6122000000,5203000000,-6220000000,None,-31336000000,26808000000,2742000000,ORCL
2022-02-28,USD,108644000000,31675000000,22682000000,22682000000,None,4588000000,76969000000,8609000000,None,1688000000,1688000000,43833000000,None,None,707000000,3698000000,None,116855000000,20833000000,1124000000,None,None,6248000000,96022000000,None,72165000000,6248000000,None,78413000000,-6578000000,17395000000,-8696000000,None,-33147000000,26129000000,2754000000,ORCL
2021-11-30,USD,106897000000,31078000000,17938000000,17938000000,None,4462000000,75819000000,8029000000,None,1881000000,1881000000,43842000000,None,None,4900000000,3778000000,None,116555000000,18881000000,1034000000,None,None,4998000000,97674000000,None,73433000000,4998000000,None,78431000000,-7210000000,17464000000,-10101000000,None,-34076000000,25591000000,2694003000,ORCL
2021-08-31,USD,122924000000,47117000000,23059000000,23059000000,None,4482000000,75807000000,7610000000,None,2181000000,2181000000,43862000000,None,None,16251000000,3325000000,None,124054000000,23071000000,749000000,None,None,6748000000,100983000000,None,75970000000,6748000000,None,82718000000,-6752000000,5050000000,-1541000000,None,-25679000000,25534000000,2861000000,ORCL
2021-05-31,USD,131107000000,55567000000,30098000000,30098000000,142000000,5409000000,75540000000,7049000000,None,2430000000,2430000000,43935000000,None,None,16456000000,3604000000,None,125155000000,24164000000,745000000,None,None,8250000000,100991000000,None,75995000000,8250000000,None,84245000000,-5951000000,17132000000,5238000000,None,-20120000000,26533000000,2949007000,ORCL
2021-02-28,USD,118109000000,43744000000,22321000000,22321000000,-10000000,4637000000,74365000000,6816000000,None,2754000000,2754000000,43954000000,None,None,13543000000,3233000000,None,108472000000,20250000000,812000000,None,None,5758000000,88222000000,None,63541000000,5758000000,None,69299000000,-6724000000,16789000000,8900000000,None,-16206000000,26261000000,2994000000,ORCL
2020-11-30,USD,110014000000,46251000000,28001000000,28001000000,-17000000,4423000000,63763000000,6627000000,None,3061000000,3061000000,43877000000,None,None,10592000000,3218000000,None,101398000000,21347000000,724000000,None,None,7251000000,80051000000,None,63531000000,7251000000,None,70782000000,-6904000000,16520000000,7917000000,None,-17095000000,26298000000,3052500000,ORCL
2020-08-31,USD,113546000000,49939000000,27276000000,27276000000,-24000000,4576000000,63607000000,6401000000,None,3405000000,3405000000,43867000000,None,None,15003000000,3060000000,None,103406000000,18748000000,534000000,None,None,2997000000,84658000000,None,67769000000,2997000000,None,70766000000,-7348000000,4199000000,9491000000,None,-15410000000,26238000000,3126389000,ORCL
2020-05-31,USD,115438000000,52140000000,37239000000,37239000000,211000000,5551000000,63298000000,6244000000,None,3738000000,3738000000,43769000000,None,None,5818000000,3532000000,None,102721000000,17200000000,637000000,None,None,2371000000,85521000000,None,69226000000,2371000000,None,71597000000,-6273000000,16295000000,12074000000,None,-12696000000,26486000000,3162000000,ORCL
2020-02-29,USD,96704000000,33442000000,23829000000,23829000000,None,4162000000,63262000000,6248000000,None,4088000000,4088000000,43781000000,None,None,2029000000,3422000000,None,81823000000,15740000000,533000000,None,None,2925000000,66083000000,None,49320000000,2355000000,None,53545000000,-8700000000,16763000000,14235000000,None,-10771000000,26685000000,3271000000,ORCL
2019-11-30,USD,98443000000,34540000000,24540000000,24540000000,None,4050000000,63903000000,6270000000,None,4492000000,4492000000,43810000000,None,None,2904000000,3046000000,None,82258000000,14592000000,534000000,None,None,1583000000,67666000000,None,50670000000,999000000,None,53653000000,-8654000000,16996000000,15563000000,None,-9174000000,26374000000,3349275000,ORCL
2019-08-31,USD,106229000000,42384000000,31083000000,31083000000,None,3820000000,63845000000,6264000000,None,4861000000,4861000000,43733000000,None,17000000,4621000000,2860000000,None,87210000000,18875000000,486000000,None,None,4335000000,68335000000,None,50692000000,3748000000,None,56776000000,-9536000000,17643000000,18433000000,None,-6446000000,26450000000,3410000000,ORCL
2019-05-31,USD,108709000000,46386000000,20514000000,20514000000,320000000,5134000000,62323000000,6252000000,None,5279000000,5279000000,43779000000,None,5000000,17313000000,3105000000,None,86346000000,18630000000,580000000,None,None,4494000000,67716000000,None,51673000000,4494000000,None,56167000000,-8113000000,16043000000,21785000000,None,-3496000000,26909000000,3505490000,ORCL
