fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Ticker
2025-11-30,None,2066000000,None,None,None,None,2110000000,12033000000,None,None,None,-7714000000,14487000000,None,None,None,None,1435000000,1435000000,None,None,None,None,-92000000,None,None,None,6135000000,ORCL
2025-08-31,USD,8140000000,None,None,None,None,1771000000,8502000000,None,None,None,-8718000000,210000000,None,None,None,None,1413000000,1413000000,None,None,None,None,-112000000,None,None,None,2927000000,ORCL
2025-05-31,USD,6157000000,None,None,None,None,1696000000,9080000000,None,None,None,-9182000000,-3814000000,None,None,None,None,1403000000,1403000000,None,None,None,None,-150000000,None,None,None,3427000000,ORCL
2025-02-28,USD,5933000000,None,None,None,None,1551000000,5862000000,None,None,None,-5976000000,6559000000,None,None,None,None,1119000000,1119000000,None,None,None,None,-152000000,None,None,None,2936000000,ORCL
2024-11-30,USD,1304000000,None,None,None,None,1499000000,3970000000,None,None,None,-3788000000,2938000000,None,None,None,None,1118000000,1118000000,None,None,None,None,-197000000,None,None,None,3151000000,ORCL
2024-08-31,USD,7427000000,None,None,None,None,1428000000,2303000000,None,None,None,-2765000000,-4585000000,None,None,None,None,1103000000,1103000000,None,None,None,None,-1001000000,None,None,None,2929000000,ORCL
2024-05-31,USD,6081000000,None,None,None,None,1554000000,2798000000,None,331000000,None,-2766000000,-2274000000,None,None,None,None,1102000000,1102000000,None,None,None,None,-327000000,None,None,None,3143000000,ORCL
2024-02-29,USD,5475000000,None,None,None,None,1557000000,1674000000,None,909000000,None,-1783000000,-2463000000,None,None,None,None,1099000000,1099000000,None,None,None,None,-582000000,None,None,None,2400000000,ORCL
2023-11-30,USD,143000000,None,None,None,None,1553000000,1080000000,None,-1578000000,None,-1249000000,-2289000000,None,None,None,None,1099000000,1099000000,None,None,None,None,-1123000000,None,None,None,2503000000,ORCL
2023-08-31,USD,6974000000,None,None,None,None,1475000000,1314000000,None,338000000,None,-1562000000,-3528000000,None,None,None,None,1091000000,1091000000,None,None,None,None,-1210000000,None,None,None,2420000000,ORCL
